TAZ,CBD,HH_IncludingGQ,HH,HH_GQ,Accomodations,College_University,Commercial,Industrial,Institutional,K12,Retail,Special_Commercial,Special_Retail
412,0,84,84,0,0,0,77,24,1,0,58,0,1
413,0,97,97,0,0,0,6,27,2,0,39,30,0
414,0,47,47,0,0,0,26,11,7,0,8,0,10
415,0,27,27,0,0,0,10,3,3,0,4,0,0
416,0,26,26,0,0,0,3,1,0,0,0,1,0
417,0,86,86,0,0,0,15,44,0,0,15,0,0
418,0,41,41,0,0,0,30,6,0,0,0,4,9
419,0,42,42,0,0,0,6,0,0,0,4,0,8
420,0,18,18,0,0,0,0,0,0,76,0,0,0
421,0,158,158,0,0,0,14,12,0,0,0,3,0
422,0,84,84,0,0,0,12,2,1,0,2,1,6
423,0,288,288,0,0,0,60,12,15,0,1,1,0
424,0,103,103,0,0,0,6,35,0,276,0,8,0
425,0,47,47,0,0,0,4,1,20,0,1,0,0
426,0,139,139,0,1,0,6,5,2,0,12,0,0
427,0,55,55,0,0,0,7,9,0,0,4,2,0
428,0,68,68,0,0,0,6,6,0,0,0,0,0
429,0,185,185,0,1,0,16,7,0,0,11,0,0
430,0,44,44,0,0,0,51,28,15,0,50,2,39
431,0,71,71,0,0,0,9,6,0,0,2,3,0
456,0,129,129,0,0,0,26,44,0,0,4,0,0
457,0,100,100,0,1,0,14,6,0,0,4,0,0
458,0,66,66,0,0,0,8,5,0,0,8,0,0
459,0,86,86,0,5,0,18,2,0,0,0,6,0
460,0,209,209,0,0,0,30,37,0,54,3,2,0
461,0,29,29,0,0,0,5,1,0,0,0,0,0
462,0,234,234,0,16,0,23,16,8,0,1,13,3
463,0,77,77,0,0,0,3,12,0,5,7,1,0
488,0,88,88,0,0,0,13,8,1,0,3,0,0
489,0,60,60,0,0,0,136,4,0,100,0,0,0
490,0,251,251,0,0,0,46,21,2,0,11,12,8
491,0,167,167,0,0,0,20,11,4,0,12,2,0
492,0,110,110,0,0,0,14,33,0,0,36,3,13
493,0,150,150,0,0,0,32,11,2,0,4,2,0
494,0,547,547,0,0,0,42,25,7,67,65,75,0
495,0,168,168,0,0,0,18,4,0,0,103,0,0
496,0,88,88,0,0,0,32,8,5,0,24,0,34
497,0,120,120,0,0,0,106,8,4,0,3,0,0
498,0,42,42,0,0,0,2,0,0,0,5,2,0
499,0,107,107,0,0,0,37,12,0,0,9,0,0
500,0,31,31,0,0,0,3,0,0,6,1,0,0
501,0,54,54,0,0,0,0,0,5,0,3,1,0
502,0,17,17,0,7,0,5,0,0,152,0,0,5
503,0,9,9,0,0,0,3,16,36,1,24,0,16
528,0,109,109,0,2,0,13,5,0,0,2,0,0
529,0,255,255,0,0,0,23,16,10,0,31,2,0
530,0,80,80,0,0,0,10,488,0,0,6,24,0
531,0,89,89,0,0,0,2,0,3,0,2,0,0
532,0,74,74,0,0,0,11,4,0,0,7,0,0
533,0,131,131,0,0,0,13,43,5,0,15,0,0
534,0,295,295,0,0,0,36,43,7,0,25,7,7
535,0,99,99,0,0,0,2,2,0,0,2,0,0
536,0,135,135,0,0,0,28,17,2,0,8,1,0
537,0,109,109,0,0,0,60,420,0,5,383,2,10
538,0,162,162,0,0,0,49,54,0,0,43,0,0
539,0,38,38,0,0,0,144,3,0,0,0,0,0
540,0,136,136,0,0,0,19,22,17,0,147,0,3
541,0,327,327,0,0,0,22,30,0,0,10,0,3
542,0,54,54,0,0,0,4,0,0,0,0,0,0
543,0,20,20,0,0,0,13,5,48,0,70,8,54
544,0,110,110,0,0,0,8,7,4,0,8,0,6
545,0,97,97,0,0,0,8,1,0,0,5,3,0
546,0,126,126,0,0,0,19,1,68,8,16,3,27
547,0,110,110,0,0,0,11,9,0,0,6,0,0
548,0,113,113,0,0,0,16,17,10,0,6,0,0
549,0,156,156,0,1,0,68,5,1,0,28,0,0
550,0,73,73,0,0,0,2,0,0,0,5,2,0
551,0,115,115,0,0,0,33,3,10,0,30,0,71
552,0,168,168,0,0,0,15,6,20,7,24,0,0
553,0,229,229,0,0,0,19,98,3,0,3,0,0
554,0,49,49,0,0,0,0,6,0,25,0,0,0
555,0,406,406,0,0,0,38,61,3,0,20,0,11
556,0,99,99,0,0,0,9,11,0,0,5,0,0
557,0,61,61,0,0,0,11,8,0,0,1,0,0
558,0,178,178,0,0,0,6,7,0,0,1,0,0
559,0,159,159,0,1,0,5,17,0,0,0,0,0
560,0,130,130,0,0,0,10,42,0,0,8,0,0
561,0,89,89,0,0,0,3,0,0,0,0,3,0
586,0,221,221,0,0,0,40,18,27,0,5,12,7
587,0,124,124,0,0,0,8,114,0,0,0,3,6
588,0,194,194,0,0,0,73,26,2,0,6,0,0
589,0,164,164,0,0,0,49,17,7,0,23,3,0
590,0,96,96,0,0,0,24,29,0,0,0,7,0
591,0,89,89,0,0,0,21,17,4,0,25,0,21
592,0,102,102,0,0,0,16,17,3,0,0,0,0
